scenario,region,companies,baseline_bn,shock_bn,change_bn,change_pct
WITCH 5.0,BRA,113,136.27429600809083,156.4884794440148,20.214183435923985,14.833452843318181
WITCH 5.0,CAN,96,138.66103944507296,178.87889578411045,40.217856339037496,29.00443880991443
WITCH 5.0,CHN,1847,-108.3254820104705,-2308.5735865546053,-2200.248104544135,-2031.1454550753479
WITCH 5.0,EU,609,409.6131022634956,457.39397302173467,47.780870758239075,11.664878514433514
WITCH 5.0,Global,1,-0.03309588095750308,-0.12752096141850258,-0.09442508046099951,-285.3076507685246
WITCH 5.0,IDN,79,51.96582336170703,-108.12471136313835,-160.09053472484538,-308.0688890668364
WITCH 5.0,IND,196,420.79160656748815,-224.8329913368688,-645.624597904357,-153.43095913221578
WITCH 5.0,MEX,52,59.486356462450196,35.35316222136028,-24.133194241089917,-40.56929298792002
WITCH 5.0,R10AFRICA,179,21.948482593253285,-641.6490157619702,-663.5974983552235,-3023.432237448642
WITCH 5.0,R10CHINA+,70,-111.07979237729967,-230.2947370345525,-119.21494465725283,-107.32370137344232
WITCH 5.0,R10EUROPE,284,121.1440845024772,117.96950593156632,-3.1745785709108816,-2.6204982141294457
WITCH 5.0,R10INDIA+,108,-7.652565005504266,-74.73333559253177,-67.0807705870275,-876.5789057496182
WITCH 5.0,R10LATIN_AM,181,152.49751375184826,160.7394893130527,8.241975561204441,5.404662252144127
WITCH 5.0,R10MIDDLE_EAST,253,687.0987103398301,289.081518326836,-398.0171920129941,-57.92722152194697
WITCH 5.0,R10NORTH_AM,5,0.03082479370713211,-0.02453034966236171,-0.05535514336949382,-179.57993132225238
WITCH 5.0,R10PAC_OECD,243,308.8756520173,221.8765873661888,-86.99906465111121,-28.166371833749597
WITCH 5.0,R10REF_ECON,194,411.2696219030035,507.9455911477579,96.67596924475441,23.50671289491814
WITCH 5.0,R10REST_ASIA,249,228.77478256955916,-49.55693546041154,-278.3317180299707,-121.66188725164398
WITCH 5.0,USA,718,764.5288218625038,1116.9492571014978,352.42043523899395,46.09642241877112
WITCH 5.0,ZAF,33,15.441205743307338,-26.653038101031523,-42.09424384433886,-272.60982428515155
WITCH 5.0,TOTAL,4878,3701.3109889108628,-421.89394285807106,-4123.204931768933,-111.3985002644216
MESSAGEix-GLOBIOM 1.1,CHN,1847,690.0597768853884,-20173.953666908794,-20864.01344379418,-3023.5081282327046
MESSAGEix-GLOBIOM 1.1,Global,1,-0.20343043087937948,-0.1484659974975996,0.05496443338177989,27.018786296711966
MESSAGEix-GLOBIOM 1.1,IND,191,277.5534981063502,620.4418316939636,342.88833358761343,123.5395467637842
MESSAGEix-GLOBIOM 1.1,R10AFRICA,199,-353.3844986719192,-1027.2773882671731,-673.892889595254,-190.69678837862486
MESSAGEix-GLOBIOM 1.1,R10CHINA+,70,-75.9195910067617,-279.69277519815796,-203.77318419139624,-268.4065884565255
MESSAGEix-GLOBIOM 1.1,R10EUROPE,809,-404.43707621074964,300.90642548228914,705.3435016930388,174.40129582122898
MESSAGEix-GLOBIOM 1.1,R10INDIA+,105,16.497084390531377,298.33481225518966,281.8377278646583,1708.409323688864
MESSAGEix-GLOBIOM 1.1,R10LATIN_AM,304,-115.60398984281487,333.27657057781533,448.8805604206302,388.29158148517786
MESSAGEix-GLOBIOM 1.1,R10MIDDLE_EAST,246,-1126.4164411977113,-2057.6648220323063,-931.2483808345951,-82.67354299662075
MESSAGEix-GLOBIOM 1.1,R10NORTH_AM,91,14.733445952698418,226.30918781784445,211.57574186514603,1436.0234703029273
MESSAGEix-GLOBIOM 1.1,R10PAC_OECD,244,-91.22551832600647,45.64701981053547,136.87253813654195,150.03755599108771
MESSAGEix-GLOBIOM 1.1,R10REF_ECON,191,-540.074962900154,-512.8266968485926,27.24826605156136,5.045274808748886
MESSAGEix-GLOBIOM 1.1,R10REST_ASIA,318,-140.54331456654882,-301.181774286692,-160.6384597201432,-114.2981864456307
MESSAGEix-GLOBIOM 1.1,USA,692,-289.8545751471815,728.2561835009001,1018.1107586480816,351.2488143860101
MESSAGEix-GLOBIOM 1.1,TOTAL,4830,-2138.8195929657586,-21799.573558400672,-19660.753965434913,-919.2338629258888
REMIND-MAgPIE 2.1-4.2,CHN,1784,2166.088652867916,1249.9081559174267,-916.1804969504894,-42.296537389522825
REMIND-MAgPIE 2.1-4.2,EU,526,78.4253067635677,-519.9260135793143,-598.351320342882,-762.9569395842576
REMIND-MAgPIE 2.1-4.2,Global,1,-0.10834151321831842,-0.29344346545760647,-0.18510195223928805,-170.85044018749312
REMIND-MAgPIE 2.1-4.2,IND,175,654.8694799097325,119.05654636982665,-535.8129335399059,-81.8198053165896
REMIND-MAgPIE 2.1-4.2,JPN,141,152.31808150977352,64.55442329643729,-87.76365821333623,-57.618673596348344
REMIND-MAgPIE 2.1-4.2,R10AFRICA,193,126.47675720847062,91.31062856288534,-35.166128645585275,-27.80441989639348
REMIND-MAgPIE 2.1-4.2,R10CHINA+,55,106.54329257476346,88.55038575543759,-17.992906819325867,-16.887883211136828
REMIND-MAgPIE 2.1-4.2,R10EUROPE,239,44.781149650069885,-149.74658218687372,-194.52773183694362,-434.39646672099235
REMIND-MAgPIE 2.1-4.2,R10INDIA+,106,140.32855999828797,27.446927775197555,-112.88163222309042,-80.44095387600898
REMIND-MAgPIE 2.1-4.2,R10LATIN_AM,279,372.35091407592904,-140.86689060938147,-513.2178046853105,-137.8317563578362
REMIND-MAgPIE 2.1-4.2,R10MIDDLE_EAST,250,-515.5008842257769,-557.8112116362989,-42.31032741052206,-8.20761490527166
REMIND-MAgPIE 2.1-4.2,R10NORTH_AM,83,192.82698205447585,174.5257022087005,-18.301279845775355,-9.491036809674815
REMIND-MAgPIE 2.1-4.2,R10PAC_OECD,90,24.731788826698043,10.44900770834836,-14.282781118349684,-57.75069979140116
REMIND-MAgPIE 2.1-4.2,R10REF_ECON,104,-21.275317705441307,7.787149601068764,29.062467306510072,136.6018017163483
REMIND-MAgPIE 2.1-4.2,R10REST_ASIA,313,240.1260510450716,-242.8343825283792,-482.9604335734508,-201.1278790749777
REMIND-MAgPIE 2.1-4.2,RUS,88,0.01848888596764046,63.05615593169253,63.03766704572489,340948.9741894369
REMIND-MAgPIE 2.1-4.2,USA,690,-481.28524487645205,-712.2599059492155,-230.97466107276347,-47.99122007824188
REMIND-MAgPIE 2.1-4.2,TOTAL,4696,3281.7157170498353,-427.09334682789944,-3708.809063877735,-113.01433102840011
IMAGE 3.0,BRA,104,666.8190288997447,481.05859181958635,-185.76043708015834,-27.85769887021133
IMAGE 3.0,CAN,86,510.9383590913184,666.799275218647,155.86091612732866,30.504837492436565
IMAGE 3.0,CHN,1766,10656.453573369412,1259.1097896995964,-9397.343783669816,-88.18453267749297
IMAGE 3.0,EU,560,1280.7668537716017,1069.421038353702,-211.34581541789976,-16.501505703050377
IMAGE 3.0,Global,769,1612.9607949692017,-2462.036855651321,-4074.9976506205226,-252.6408368591706
IMAGE 3.0,IDN,75,427.8959089064295,-249.9724873842882,-677.8683962907177,-158.41899447534823
IMAGE 3.0,IND,186,2723.881273606188,775.1824660701478,-1948.6988075360405,-71.54125352005994
IMAGE 3.0,JPN,135,747.4777500098296,28.67924438231728,-718.7985056275123,-96.16319758254474
IMAGE 3.0,MEX,37,87.94879024222702,-101.95927926970693,-189.90806951193395,-215.93028055177618
IMAGE 3.0,R10CHINA+,70,352.9323251369382,148.21542450455726,-204.7169006323809,-58.0045765297782
IMAGE 3.0,R10EUROPE,226,377.728562789851,394.1942633056647,16.465700515813694,4.359135669857821
IMAGE 3.0,R10LATIN_AM,161,486.79277474889625,289.26683672660346,-197.5259380222928,-40.577006945960356
IMAGE 3.0,R10NORTH_AM,1,0.12664175356319843,-1.103667763212719,-1.2303095167759175,-971.48806152779
IMAGE 3.0,R10REF_ECON,102,132.33694868745584,-154.29678835453302,-286.63373704198887,-216.59388393406317
IMAGE 3.0,RUS,88,302.6300426618748,-346.71966119089507,-649.3497038527698,-214.56881747139724
IMAGE 3.0,TUR,48,173.76991206967142,41.44655469297122,-132.3233573767002,-76.14860121678969
IMAGE 3.0,USA,669,2458.174863516347,1083.73373063883,-1374.4411328775172,-55.91307409723568
IMAGE 3.0,ZAF,24,190.29679055105245,91.2346701584641,-99.06212039258835,-52.05664273460889
IMAGE 3.0,TOTAL,4690,23189.931194781602,3012.253145957131,-20177.67804882447,-87.01051279257364
AIM/CGE 2.2,BRA,99,1531.4413247722362,1579.717119339701,48.2757945674648,3.1523110801939884
AIM/CGE 2.2,CHN,1757,19072.310982105446,12487.963947049093,-6584.347035056353,-34.5230687630571
AIM/CGE 2.2,EU,539,2533.9407404550543,3579.030901078693,1045.090160623639,41.24367014344455
AIM/CGE 2.2,Global,1,0.4886545082403348,0.3115956538221864,-0.1770588544181484,-36.23395495843161
AIM/CGE 2.2,IND,186,3344.8414182104348,2744.149239211517,-600.6921789989178,-17.95876407558663
AIM/CGE 2.2,JPN,129,1106.9376881207788,1018.325324445271,-88.61236367550782,-8.005180835964024
AIM/CGE 2.2,R10AFRICA,177,1816.6382422244083,1542.058923524855,-274.57931869955337,-15.114694401860707
AIM/CGE 2.2,R10CHINA+,60,1173.064351593222,1012.0443883508393,-161.0199632423827,-13.72643905031212
AIM/CGE 2.2,R10EUROPE,256,816.3741768686504,920.4611369613567,104.08696009270636,12.749908441733249
AIM/CGE 2.2,R10INDIA+,103,669.388862855512,626.9696980050701,-42.419164850441916,-6.336998896200356
AIM/CGE 2.2,R10LATIN_AM,191,2115.328396934814,2035.9699496422581,-79.35844729255587,-3.7515899378814694
AIM/CGE 2.2,R10MIDDLE_EAST,229,5022.247914389568,4412.839811314076,-609.4081030754924,-12.134170066145833
AIM/CGE 2.2,R10NORTH_AM,87,777.4767370704039,1021.9105200979012,244.43378302749727,31.439369356380205
AIM/CGE 2.2,R10PAC_OECD,85,633.8794843184951,664.9365200013428,31.057035682847754,4.899517408461043
AIM/CGE 2.2,R10REF_ECON,101,526.0611709847506,884.6386017019813,358.57743071723075,68.16268724908898
